,organization,industry,section,gri_l1,gri_l2,sim_score,gri_desc
0,lloyds,finances,lloyds-sustainability-2023-1,gri_2,gri_2-22,0.630971849,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
1,lloyds,finances,lloyds-sustainability-2023-1,gri_2,gri_2-2,0.615845442,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
2,lloyds,finances,lloyds-sustainability-2023-1,gri_2,gri_2-27,0.505001247,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Compliance with laws and regulations (Total number of significant instances of non-compliance with laws and regulations during the reporting period)"
3,lloyds,finances,lloyds-sustainability-2023-1,gri_2,gri_2-24,0.483464301,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Embedding policy commitments (Describe how organization embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships)"
4,lloyds,finances,lloyds-sustainability-2023-1,gri_201,gri_201-2,0.478437722,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
5,lloyds,finances,lloyds-sustainability-2023-1,gri_304,gri_304-2,0.468162388,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
6,lloyds,finances,lloyds-sustainability-2023-1,gri_308,gri_308-2,0.445408463,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
7,lloyds,finances,lloyds-sustainability-2023-1,gri_307,gri_307-1,0.408460617,"Environmental Compliance (Non-compliance, Laws & Regulations, Sanctions): Environmental Non-Monetary Sanctions (Total number of non-monetary sanctions for non-compliance with environmental laws and regulations incurred by the organization? )"
8,lloyds,finances,lloyds-sustainability-2023-3,gri_304,gri_304-2,0.493171066,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
9,lloyds,finances,lloyds-sustainability-2023-3,gri_2,gri_2-22,0.475147665,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
10,lloyds,finances,lloyds-sustainability-2023-3,gri_201,gri_201-2,0.466615558,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
11,lloyds,finances,lloyds-sustainability-2023-3,gri_2,gri_2-2,0.415717334,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
12,lloyds,finances,lloyds-sustainability-2023-4,gri_2,gri_2-22,0.538229525,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
13,lloyds,finances,lloyds-sustainability-2023-4,gri_201,gri_201-2,0.531310737,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
14,lloyds,finances,lloyds-sustainability-2023-4,gri_304,gri_304-2,0.518072724,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
15,lloyds,finances,lloyds-sustainability-2023-4,gri_2,gri_2-5,0.504559517,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): External assurance (Organization's policy and practice for seeking external assurance, external climate change policies or goals)"
16,lloyds,finances,lloyds-sustainability-2023-4,gri_2,gri_2-25,0.498930514,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
17,lloyds,finances,lloyds-sustainability-2023-4,gri_201,gri_201-1,0.498717219,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Direct economic value generated and distributed (Company's direct economic value (revenue) generated)"
18,lloyds,finances,lloyds-sustainability-2023-4,gri_2,gri_2-24,0.452954948,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Embedding policy commitments (Describe how organization embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships)"
19,lloyds,finances,lloyds-sustainability-2023-4,gri_2,gri_2-23,0.437874794,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Policy commitments (Organization's policy commitments for responsible business conduct)"
20,lloyds,finances,lloyds-sustainability-2023-8,gri_201,gri_201-2,0.45074755,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
